stock,date,model_type,ADV,sigma,lambda_hat,half_life_seconds,beta,use_dynamic_target,gamma_method,gamma_clip_multiple,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,mean_local_volume,mean_gamma_prime,max_abs_gamma_prime,strategy,alpha_key
ADM,2019-02-14,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,6523944.210440982,52811.09523809524,-63.613704693250526,0.008094964263117987,True,8843.097632236178,0.0002662000296306632,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADM,2019-02-15,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,6771484.85431485,52811.09523809525,52.933343764930484,0.0077990420674785305,True,9760.658020355899,0.0002993232208180601,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADM,2019-02-19,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,7726623.649559076,52811.095238095244,29.62326540860635,0.006834951155037678,True,13049.511959043351,0.00031444785924984584,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADM,2019-02-20,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,8404279.822863963,52811.095238095244,78.23169563140573,0.0062838335171113546,True,13757.811028100798,0.00020163337402685693,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADM,2019-02-21,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,9172541.384817228,52811.095238095244,-187.7765221630502,0.005757520519396115,True,15616.677894949824,0.00021140302554966252,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADM,2019-02-22,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,8788696.208479011,52811.095238095244,103.79410077130728,0.00600897948744036,True,13784.59401310378,0.0002013236952462586,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADM,2019-02-25,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,6849117.842307288,52811.095238095244,157.61629505336143,0.007710641932874756,True,9556.622880987534,0.0002938541965353863,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADM,2019-02-26,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,6011236.592071472,52811.09523809525,-16.018762267160255,0.008785396220762715,True,7771.290121283849,0.0002798189802944773,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADM,2019-02-27,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,6675037.203595765,52811.095238095244,226.66270315352352,0.007911730470902323,True,9059.580736587463,0.0003026679039479418,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADM,2019-02-28,reduced_form,264055.4761904762,0.0002399653754965,80.67257710298713,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,52811.095238095244,5272118.967866147,52811.09523809525,109.53926685672336,0.01001705302175117,True,6567.662363965374,0.0002947281804910264,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
ADP,2019-02-01,reduced_form,303932.2380952381,0.000249105653446,88.08621179391208,600.0,0.0011552453009332421,True,log_backward,0.5,0.2,60786.44761904763,8987272.150523053,60786.44761904763,55.52720584977369,0.0067636148767910515,True,16284.578811634572,0.00012047023375710765,0.0005776226504666211,non_rolling_reduced_day_only,intraday_only
