daily_pnl,impact_cost,max_abs_impact,final_position,total_abs_traded,net_traded,avg_price,traded_notional,model_type,stock,date,lambda_hat,ADV,sigma,half_life_seconds,impact_cost_bps,pnl_bps,strategy,backtest_model
-1230.2061166290755,73.51241254983381,0.007188485410211493,-34.10362198804223,95268.63809523809,-34.10362198804227,79.92061425760608,7613928.076056998,ow,ABBV,2019-02-20,382.8220888827348,476343.1904761905,0.000342149361792,1800.0,0.09654991722472832,-1.6157312025281942,combined,ow
-1162.0544536193152,72.9365907836238,0.00607573829161533,26.94243296841262,95268.63809523809,26.942432968412547,78.75888496707336,7503251.708712599,ow,ABBV,2019-02-21,382.8220888827348,476343.1904761905,0.000342149361792,1800.0,0.09720664268657221,-1.5487344670444214,combined,ow
-1778.730827490826,92.06873904710953,0.009827067547900331,38.28411603437408,95268.6380952381,38.284116034374506,79.47194146204662,7571183.629873667,ow,ABBV,2019-02-22,382.8220888827348,476343.1904761905,0.000342149361792,1800.0,0.12160415537120686,-2.349343133710925,combined,ow
-1313.3163838521916,87.60230399973779,0.00992020816221956,-13.62737878311576,95268.6380952381,-13.627378783116697,80.25104274973147,7645407.548489649,ow,ABBV,2019-02-25,382.8220888827348,476343.1904761905,0.000342149361792,1800.0,0.11458160136544145,-1.717784664221906,combined,ow
-898.6985947420674,73.47344282797515,0.006983514023911089,-15.01826552851778,95268.6380952381,-15.018265528518086,80.51468538952959,7670524.4237270495,ow,ABBV,2019-02-26,382.8220888827348,476343.1904761905,0.000342149361792,1800.0,0.09578672691622167,-1.1716260128996454,combined,ow
-1320.490371798831,78.02989803093578,0.005623699929154535,-2.0521394368254775,95268.63809523812,-2.052139436825449,79.44360170785131,7568483.740087528,ow,ABBV,2019-02-27,382.8220888827348,476343.1904761905,0.000342149361792,1800.0,0.10309845500181175,-1.7447224796225296,combined,ow
-1259.5836539775607,73.35959538321387,0.005438206622297543,-0.9896957026355002,95268.6380952381,-0.9896957026349469,79.27658306660364,7552572.101599343,ow,ABBV,2019-02-28,382.8220888827348,476343.1904761905,0.000342149361792,1800.0,0.09713193650634483,-1.6677545570347214,combined,ow
-1381.696309971623,70.05015035276395,0.004675348442446493,17.83312100704393,100012.02857142861,17.833121007043754,72.34722516430898,7235592.750196449,ow,ABT,2019-02-01,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09681328506342768,-1.9095827497119835,combined,ow
-1061.3141882333694,68.36713416337687,0.004421266547619208,47.06270835110634,100012.02857142859,47.06270835110666,72.38077478426574,7238948.115746123,ow,ABT,2019-02-04,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.0944434648103984,-1.4661165838788155,combined,ow
-1084.7607239313854,66.68911514071982,0.005509353578827197,-35.75377126599729,100012.02857142857,-35.75377126599722,72.97033084478205,7297910.813314938,ow,ABT,2019-02-05,440.8674480814128,500060.1428571429,0.0002830669728843,1800.0,0.09138110460194504,-1.4863989868884864,combined,ow
