stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,strategy,model_type,alpha_key
AES,2019-02-07,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,52054436.63080171,73593.36190476191,-22.633428820752123,0.0014137769356092728,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-08,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,52206017.459408075,73593.3619047619,13.853724911896002,0.0014096720164870498,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-11,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,51046626.290816166,73593.36190476193,2.526187413098537,0.0014416890449428614,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-12,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,49755106.76450761,73593.3619047619,47.44726557640943,0.0014791117272259402,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-13,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,51562985.34858871,73593.36190476191,20.495793188188205,0.0014272517661116412,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-14,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,49463559.14924143,73593.36190476193,52.30328432571569,0.0014878298927644097,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-15,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,48849454.864330955,73593.36190476193,21.124081147257648,0.0015065339441177376,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-19,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,49237773.21118389,73593.36190476193,-30.468751800467416,0.0014946525219391093,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-20,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,49410417.55067806,73593.36190476193,12.803731813207499,0.0014894300747262557,True,non_rolling_ow_day_only,ow,intraday_only
AES,2019-02-21,367966.8095238095,0.000300475148608,228.2627459822449,1800.0,0.0003850817669777474,0.2,73593.36190476191,49221738.81466542,73593.3619047619,-17.42136299513335,0.0014951394176029203,True,non_rolling_ow_day_only,ow,intraday_only
