stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,c,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,apply_terminal_condition,strategy,model_type,alpha_key
ADM,2019-02-08,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,13663740.361374475,52811.09523809524,-400.5715476368341,0.003865054065824098,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-11,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,12542557.311081158,52811.09523809525,44.57449787362742,0.004210552435860704,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-12,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,20837460.5658657,52811.095238095244,1068.9939862266597,0.0025344304825995092,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-13,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,15158324.935682511,52811.09523809525,788.0469137255054,0.003483966431790796,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-14,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,12378172.987499857,52811.095238095244,-121.3827323871393,0.004266469315902009,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-15,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,12657971.169599585,52811.09523809524,325.8694548159923,0.004172161125230769,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-19,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,11752798.755691165,52811.09523809524,52.932181528388355,0.004493490983372964,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-20,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,12312764.059965163,52811.09523809525,322.25495515021777,0.004289134022295613,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-21,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,13784889.979730548,52811.09523809525,-558.7571512451724,0.0038310857261646086,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-22,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,13103917.670890031,52811.09523809525,339.8189358450879,0.004030176056082338,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-25,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,13450475.192190383,52811.09523809524,357.53094932079296,0.003926336763831097,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-26,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,11970455.625243023,52811.09523809524,-62.95098585525528,0.004411786559462985,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-27,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,15617506.567002423,52811.095238095244,738.181400556718,0.003381531809288789,True,True,non_rolling_afs_day_only,afs,intraday_only
ADM,2019-02-28,264055.4761904762,0.0002399653754965,0.4362227189530383,300.0,0.0023104906018664843,0.5,0.2,52811.095238095244,12032531.263284236,52811.09523809525,312.4512437456909,0.004389026222540697,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-01,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,9317407.658252254,60786.44761904764,177.23594889138047,0.006523965661758955,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-04,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,9926463.426578738,60786.44761904763,490.28537585257214,0.0061236761781933375,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-05,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,13012475.272203185,60786.44761904761,-954.6334446958994,0.004671397743125599,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-06,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,9982699.15455395,60786.44761904763,-505.37844120212173,0.006089179557346253,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-07,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,11972959.632657865,60786.44761904763,-889.339730385645,0.005076977579816137,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-08,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,8734254.166740889,60786.447619047634,248.59021039961627,0.006959546454523382,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-11,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,11245751.823635995,60786.44761904763,299.64463534466097,0.005405280907167845,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-12,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,8875893.911747776,60786.44761904762,-298.93499424272545,0.006848487400079572,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-13,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,12558930.581363708,60786.44761904763,-1057.856214856502,0.004840097429095524,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-14,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,8192574.928121948,60786.44761904762,52.7110836079339,0.007419699929797555,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-15,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,9741187.567269076,60786.44761904763,-702.597046699264,0.006240147538406244,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-19,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,7751331.230176057,60786.44761904763,191.72354926932644,0.00784206555157971,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-20,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,8177980.66515102,60786.44761904763,-46.177910666424225,0.007432940979926504,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-21,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,9766783.580594905,60786.44761904763,-755.6284126181014,0.006223793853671637,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-22,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,8321496.478063296,60786.44761904763,369.9944391810471,0.007304749545864709,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-25,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,8720039.917323858,60786.44761904762,589.3196226231627,0.006970890981620956,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-26,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,8672913.436787862,60786.44761904763,-469.2447767986098,0.0070087690903508845,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-27,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,9407293.374187885,60786.44761904763,-369.5358020914301,0.006461629844120303,True,True,non_rolling_afs_day_only,afs,intraday_only
ADP,2019-02-28,303932.2380952381,0.000249105653446,0.5115897996516298,300.0,0.0023104906018664843,0.5,0.2,60786.44761904763,9312661.69966074,60786.447619047634,-676.8808617318405,0.006527290433116675,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-01,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,15945037.758096965,56056.78095238094,539.99246119324,0.003515625475638341,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-04,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,15150682.052368477,56056.78095238095,225.86020039853574,0.0036999509829735815,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-05,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,16088576.546795014,56056.78095238094,-574.9886275097076,0.003484259828042273,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-06,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,15040496.10900349,56056.78095238094,-377.7127115078756,0.003727056644017509,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-07,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,15355297.176088922,56056.78095238094,329.41745188483367,0.003650647741267546,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-08,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,15420333.271257116,56056.78095238095,395.64637481411074,0.003635250935650564,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-11,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,15852799.684391677,56056.78095238095,-617.6783542442163,0.003536080822845017,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-12,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,15825231.722401153,56056.78095238095,-612.0631592764423,0.00354224076687804,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-13,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,13709478.088339003,56056.78095238095,-55.299626753562144,0.004088907002233855,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-14,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,15495481.902362747,56056.78095238094,494.4456067092201,0.003617621014021734,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-15,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,19092179.41707149,56056.78095238095,-918.56550823528,0.00293611220216468,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-19,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,12923180.374664664,56056.78095238095,174.4006916344108,0.00433769237348709,True,True,non_rolling_afs_day_only,afs,intraday_only
AEP,2019-02-20,280283.90476190473,0.0002608355109743,0.4094396284030576,300.0,0.0023104906018664843,0.5,0.2,56056.78095238095,13635841.75943603,56056.780952380956,-280.96546697911526,0.004110987934689807,True,True,non_rolling_afs_day_only,afs,intraday_only
