stock,date,ADV,sigma,lambda_hat,half_life_seconds,beta,target_participation,target_abs_volume,raw_abs_volume,actual_abs_volume,net_traded,scale_factor,normalize_abs_volume,strategy,model_type,alpha_key,c,apply_terminal_condition,use_dynamic_target,gamma_method,gamma_clip_multiple,mean_local_volume,mean_gamma_prime,max_abs_gamma_prime
AAPL,2019-02-21,2968462.8095238097,0.0002876491912289,407.3922060358001,1800.0,0.0003850817669777474,0.2,593692.5619047619,235002978.04227278,593692.5619047618,-27.14327070855728,0.0025263193124215105,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAPL,2019-02-22,2968462.8095238097,0.0002876491912289,407.3922060358001,1800.0,0.0003850817669777474,0.2,593692.5619047619,225196854.823968,593692.5619047619,420.0898966684403,0.0026363270586920048,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAPL,2019-02-25,2968462.8095238097,0.0002876491912289,407.3922060358001,1800.0,0.0003850817669777474,0.2,593692.5619047619,227983933.7613902,593692.5619047619,-54.398712986100065,0.00260409824547604,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAPL,2019-02-26,2968462.8095238097,0.0002876491912289,407.3922060358001,1800.0,0.0003850817669777474,0.2,593692.5619047619,220855426.08366263,593692.5619047619,-10.86488493020812,0.002688150218595328,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAPL,2019-02-27,2968462.8095238097,0.0002876491912289,407.3922060358001,1800.0,0.0003850817669777474,0.2,593692.5619047619,224010380.40324304,593692.5619047619,-105.7624218543852,0.0026502904054537596,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
AAPL,2019-02-28,2968462.8095238097,0.0002876491912289,407.3922060358001,1800.0,0.0003850817669777474,0.2,593692.5619047619,228513571.74939093,593692.5619047619,-182.71263473382902,0.0025980625892796424,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-01,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,49443498.74144709,95268.6380952381,-42.52155515091394,0.0019268182980622503,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-04,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,50345131.16166319,95268.63809523809,-6.2676157454481825,0.0018923108530459697,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-05,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,49223990.88825649,95268.6380952381,61.32427562440422,0.0019354106884894337,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-06,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,50269172.648839764,95268.6380952381,42.98418764185465,0.00189517020223799,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-07,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,49838060.10126594,95268.6380952381,13.251354770930938,0.0019115639312939105,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-08,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,49727662.729091406,95268.6380952381,-42.94208611597561,0.0019158076786002765,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-11,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,48952745.09526403,95268.6380952381,-19.36446230445634,0.001946134745045277,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-12,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,49525014.1777196,95268.6380952381,-47.98455966851818,0.0019236468616317473,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-13,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,48485937.21890119,95268.63809523807,-22.498807052554774,0.00196487153924911,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-14,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,48072112.146578275,95268.6380952381,6.536524040223114,0.0019817859844550065,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-15,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,48537549.048246846,95268.63809523812,-60.91549408984906,0.0019627822163113358,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-19,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,48669359.98672239,95268.6380952381,25.20793887769362,0.0019574664248970725,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-20,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,49052649.18705031,95268.63809523809,-5.7666875725733036,0.0019421711094940945,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-21,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,49697248.136421,95268.6380952381,-10.684412947585919,0.0019169801481506933,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-22,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,48848605.24165913,95268.63809523812,-26.92841736148567,0.00195028369026985,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-25,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,47452625.8469525,95268.63809523807,-4.2756905630646,0.002007657877616828,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-26,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,49142399.164768554,95268.6380952381,10.867697784542457,0.001938624074413091,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-27,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,50001090.28721203,95268.6380952381,64.96359356022714,0.0019053312147395997,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABBV,2019-02-28,476343.1904761905,0.000342149361792,382.8220888827348,1800.0,0.0003850817669777474,0.2,95268.6380952381,46604294.75559205,95268.63809523812,44.865277601468435,0.0020442029773190982,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-01,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,37616780.53912299,100012.0285714286,125.28900978464526,0.0026587078197032833,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-04,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,37654061.34079738,100012.02857142857,-36.18332427498984,0.00265607546729807,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-05,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,38071620.17543441,100012.02857142857,1.6658654821434595,0.00262694437774311,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-06,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,37910397.69913165,100012.02857142861,52.33913869979407,0.002638116048403243,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-07,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,38948531.2516979,100012.02857142859,-43.243238403677594,0.002567799743849615,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-08,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,40360046.04523361,100012.02857142859,-13.534478893451642,0.0024779958986999146,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-11,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,37142970.91631016,100012.02857142859,79.1062709869095,0.002692623290602515,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-12,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,36230381.99592269,100012.02857142861,-22.48474289522326,0.002760446428157555,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-13,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,37471927.225507975,100012.02857142859,37.103986017565674,0.002668985450616166,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-14,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,38770518.726796865,100012.02857142856,-64.04781221297972,0.0025795896432591102,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-15,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,36344529.495994836,100012.02857142859,-72.6618676444366,0.002751776676114349,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-19,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,37551897.8903782,100012.02857142859,-24.170795715720963,0.0026633015690281352,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-20,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,38914525.55032793,100012.02857142859,-20.235691666722275,0.0025700436317046605,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
ABT,2019-02-21,500060.1428571429,0.0002830669728843,440.8674480814128,1800.0,0.0003850817669777474,0.2,100012.02857142859,36904456.93615703,100012.02857142859,-38.66648967712153,0.0027100257495847905,True,non_rolling_ow_day_only,ow,intraday_only,,,,,,,,
